ZIP CODE,CITY NAME,DIVISION
92149.0,"SD, PARADISE HILLS (POB)",CENTRAL
92150.0,"SD, DOWNTOWN (POB)",CENTRAL
92152.0,"*SD, (SPAWARS System Center)",CENTRAL
92153.0,"SD, NESTOR (POB)",SOUTH
92154.0,"SD, OTAY MESA",SOUTH
92155.0,"*SD, (Naval Amphibious Base)",SOUTH
92158.0,"*SD, (County Jail)",CENTRAL
92159.0,"SD, NAVAJO (POB)",CENTRAL
92160.0,"SD, GRANTVILLE (POB)",CENTRAL
92161.0,"*SD, (VA Hospital)",CENTRAL
92162.0,"SD, GOLDEN HILL (POB)",CENTRAL
92163.0,"SD, HILLCREST (POB)",CENTRAL
92164.0,"SD, NORTH PARK (POB)",CENTRAL
92165.0,"SD, CITY HEIGHTS (POB)",CENTRAL
92166.0,"SD, POINT LOMA (POB)",CENTRAL
92167.0,"SD, OCEAN BEACH (POB)",CENTRAL
92168.0,"SD, MISSION VALLEY (POB)",CENTRAL
92169.0,"SD, PACIFIC BEACH (POB)",CENTRAL
92170.0,"SD, SOUTHEASTERN (POB)",SOUTH
92171.0,"SD, LINDA VISTA (POB)",CENTRAL
92172.0,"SD, RNCHO PENASQUITOS (POB)",CENTRAL
92173.0,SAN YSIDRO,SOUTH
92174.0,"SD, ENCANTO (POB)",CENTRAL
92175.0,SAN DIEGO (POB),CENTRAL
92176.0,"SD, NORMAL HEIGHTS (POB)",CENTRAL
92177.0,"SD, CLAIREMONT (POB)",CENTRAL
92178.0,CORONADO (POB),CENTRAL
92179.0,DONOVAN CORR. FACILITY (POB),SOUTH
92182.0,"*SD, (SDSU)",CENTRAL
92184.0,"*SD, (SDG&E)",CENTRAL
92186.0,"SD, LOMA PORTAL (POB)",CENTRAL
92187.0,"*SD, (SD Water Utilities)",CENTRAL
92190.0,"SD, GRANTVILLE (POB)",CENTRAL
92191.0,"SD, SORRENTO VALLEY (POB)",CENTRAL
92192.0,"SD, UNIVERSITY CITY (POB)",CENTRAL
92193.0,"SD, SERRA MESA (POB)",CENTRAL
92194.0,"SD, SERRA MESA (POB)",CENTRAL
92195.0,"SD, ROLANDO (POB)",CENTRAL
92196.0,"SD, MIRA MESA (POB)",CENTRAL
92197.0,"SD, RANCHO BERNARDO",CENTRAL
92198.0,"SD, RANCHO BERNARDO (POB)",CENTRAL
92199.0,"SD, RANCHO BERNARDO",CENTRAL
