ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalTherms,AverageTherms
91901,10,2016,C,Y,86,21194,246
91901,10,2016,R,Y,2121,35450,17
91902,10,2016,C,Y,0,0,0
91902,10,2016,R,N,5146,1043997,203
91905,10,2016,C,Y,0,0,0
91905,10,2016,R,Y,0,0,0
91906,10,2016,C,Y,0,0,0
91906,10,2016,R,Y,0,0,0
91910,10,2016,C,Y,0,0,0
91910,10,2016,R,Y,20701,2218596,107
91911,10,2016,C,Y,481,134713,280
91911,10,2016,R,Y,16664,303129,18
91912,10,2016,C,Y,0,0,0
91912,10,2016,R,Y,0,0,0
91913,10,2016,C,Y,0,0,0
91913,10,2016,R,N,14668,204346,14
91914,10,2016,C,Y,0,0,0
91914,10,2016,R,N,5097,86313,17
91915,10,2016,C,Y,71,17705,249
91915,10,2016,R,Y,9339,130008,14
91916,10,2016,C,Y,0,0,0
91916,10,2016,R,Y,0,0,0
91917,10,2016,C,Y,0,0,0
91917,10,2016,R,Y,0,0,0
91931,10,2016,C,Y,0,0,0
91931,10,2016,R,Y,0,0,0
91932,10,2016,C,Y,0,0,0
91932,10,2016,R,N,8184,133032,16
91934,10,2016,C,Y,0,0,0
91934,10,2016,R,Y,0,0,0
91935,10,2016,C,Y,0,0,0
91935,10,2016,R,N,209,5794,28
91941,10,2016,C,N,132,17555,133
91941,10,2016,R,N,10879,175109,16
91942,10,2016,C,Y,0,0,0
91942,10,2016,R,N,10722,1125607,105
91945,10,2016,C,N,310,36921,119
91945,10,2016,R,N,7757,109599,14
91948,10,2016,C,Y,0,0,0
91948,10,2016,R,Y,0,0,0
91950,10,2016,C,Y,0,0,0
91950,10,2016,R,Y,11738,227941,19
91962,10,2016,C,Y,0,0,0
91962,10,2016,R,Y,0,0,0
91963,10,2016,C,Y,0,0,0
91963,10,2016,R,Y,0,0,0
91977,10,2016,C,N,324,41165,127
91977,10,2016,R,N,15142,230097,15
91978,10,2016,C,Y,0,0,0
91978,10,2016,R,N,2265,39054,17
91980,10,2016,C,Y,0,0,0
91980,10,2016,R,Y,0,0,0
92003,10,2016,C,Y,0,0,0
92003,10,2016,R,N,158,2579,16
92004,10,2016,C,Y,0,0,0
92004,10,2016,R,Y,285,2969,10
92007,10,2016,C,Y,0,0,0
92007,10,2016,R,N,4102,1063035,259
92008,10,2016,C,N,571,215272,377
92008,10,2016,R,N,9886,185504,19
92009,10,2016,C,N,217,107046,493
92009,10,2016,R,N,15310,274351,18
92010,10,2016,C,Y,0,0,0
92010,10,2016,R,N,5474,71763,13
92011,10,2016,C,N,188,71394,380
92011,10,2016,R,N,8697,2050870,236
92014,10,2016,C,N,167,51827,310
92014,10,2016,R,N,5413,107067,20
92019,10,2016,C,N,196,61597,314
92019,10,2016,R,N,11920,1143598,96
92020,10,2016,C,Y,0,0,0
92020,10,2016,R,N,13777,2152955,156
92021,10,2016,C,Y,0,0,0
92021,10,2016,R,N,13921,1214877,87
92024,10,2016,C,Y,0,0,0
92024,10,2016,R,Y,16364,1255313,77
92025,10,2016,C,Y,0,0,0
92025,10,2016,R,N,11143,198801,18
92026,10,2016,C,Y,0,0,0
92026,10,2016,R,N,9783,1018300,104
92027,10,2016,C,Y,0,0,0
92027,10,2016,R,Y,12519,1156915,92
92028,10,2016,C,Y,0,0,0
92028,10,2016,R,Y,8295,145042,17
92029,10,2016,C,Y,0,0,0
92029,10,2016,R,N,5410,85829,16
92036,10,2016,C,Y,0,0,0
92036,10,2016,R,Y,0,0,0
92037,10,2016,C,Y,0,0,0
92037,10,2016,R,Y,14626,318908,22
92040,10,2016,C,Y,0,0,0
92040,10,2016,R,N,8900,148480,17
92045,10,2016,C,Y,0,0,0
92045,10,2016,R,Y,0,0,0
92049,10,2016,C,Y,0,0,0
92049,10,2016,R,Y,0,0,0
92054,10,2016,C,Y,685,175244,256
92054,10,2016,R,Y,11768,2132530,181
92055,10,2016,C,Y,0,0,0
92055,10,2016,R,Y,0,0,0
92056,10,2016,C,Y,0,0,0
92056,10,2016,R,N,18648,261533,14
92057,10,2016,C,Y,0,0,0
92057,10,2016,R,N,17951,261099,15
92058,10,2016,C,Y,0,0,0
92058,10,2016,R,Y,6203,1108389,179
92059,10,2016,C,Y,0,0,0
92059,10,2016,R,Y,0,0,0
92060,10,2016,C,Y,0,0,0
92060,10,2016,R,Y,0,0,0
92061,10,2016,C,Y,0,0,0
92061,10,2016,R,Y,0,0,0
92064,10,2016,C,Y,0,0,0
92064,10,2016,R,N,13348,239416,18
92065,10,2016,C,Y,0,0,0
92065,10,2016,R,Y,0,0,0
92066,10,2016,C,Y,0,0,0
92066,10,2016,R,Y,0,0,0
