ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92019,7,2017,R,N,15169,11925361,786
92020,7,2017,A,Y,0,0,0
92020,7,2017,C,N,2472,16198990,6553
92020,7,2017,I,Y,0,0,0
92020,7,2017,R,N,21623,15609652,722
92021,7,2017,A,Y,0,0,0
92021,7,2017,C,N,1381,8287565,6001
92021,7,2017,I,Y,0,0,0
92021,7,2017,R,N,22173,17229969,777
92024,7,2017,A,Y,0,0,0
92024,7,2017,C,Y,1920,10936692,5696
92024,7,2017,I,Y,0,0,0
92024,7,2017,R,Y,20207,9982932,494
92025,7,2017,A,Y,0,0,0
92025,7,2017,C,N,2202,15473365,7027
92025,7,2017,I,Y,0,0,0
92025,7,2017,R,N,16087,10431757,648
92026,7,2017,A,Y,0,0,0
92026,7,2017,C,Y,576,4289091,7446
92026,7,2017,I,Y,0,0,0
92026,7,2017,R,Y,18492,12426136,672
92027,7,2017,A,Y,0,0,0
92027,7,2017,C,Y,1333,7729244,5798
92027,7,2017,I,Y,0,0,0
92027,7,2017,R,Y,16340,12236611,749
92028,7,2017,A,Y,0,0,0
92028,7,2017,C,Y,1401,6051214,4319
92028,7,2017,I,Y,0,0,0
92028,7,2017,R,Y,16493,11640665,706
92029,7,2017,A,Y,0,0,0
92029,7,2017,C,N,1399,8097861,5788
92029,7,2017,I,Y,0,0,0
92029,7,2017,R,N,6824,5385535,789
92036,7,2017,A,Y,0,0,0
92036,7,2017,C,Y,0,0,0
92036,7,2017,I,Y,0,0,0
92036,7,2017,R,Y,2385,1427183,598
92037,7,2017,A,Y,0,0,0
92037,7,2017,C,Y,1553,16124541,10383
92037,7,2017,I,Y,0,0,0
92037,7,2017,R,Y,20402,11307332,554
92040,7,2017,A,Y,0,0,0
92040,7,2017,C,N,801,4394372,5486
92040,7,2017,I,Y,0,0,0
92040,7,2017,R,N,14344,12764725,890
92045,7,2017,C,Y,0,0,0
92045,7,2017,I,Y,0,0,0
92045,7,2017,R,Y,0,0,0
92049,7,2017,A,Y,0,0,0
92049,7,2017,C,Y,0,0,0
92049,7,2017,I,Y,0,0,0
92049,7,2017,R,Y,0,0,0
92054,7,2017,A,Y,0,0,0
92054,7,2017,C,Y,1410,10891161,7724
92054,7,2017,I,Y,0,0,0
92054,7,2017,R,Y,16094,8415293,523
92055,7,2017,A,Y,0,0,0
92055,7,2017,C,Y,0,0,0
92055,7,2017,I,Y,0,0,0
92055,7,2017,R,Y,0,0,0
92056,7,2017,A,Y,0,0,0
92056,7,2017,C,N,1263,9066604,7179
92056,7,2017,I,Y,0,0,0
92056,7,2017,R,N,20899,9791893,469
92057,7,2017,A,Y,0,0,0
92057,7,2017,C,N,346,3390678,9800
92057,7,2017,I,Y,0,0,0
92057,7,2017,R,N,19925,10224750,513
92058,7,2017,A,Y,0,0,0
92058,7,2017,C,Y,641,5217525,8140
92058,7,2017,I,Y,0,0,0
92058,7,2017,R,Y,7712,5495410,713
92059,7,2017,A,Y,0,0,0
92059,7,2017,C,Y,0,0,0
92059,7,2017,I,Y,0,0,0
92059,7,2017,R,N,538,560196,1041
92060,7,2017,A,Y,0,0,0
92060,7,2017,C,Y,0,0,0
92060,7,2017,I,Y,0,0,0
92060,7,2017,R,Y,0,0,0
92061,7,2017,A,Y,1033,8393108,8125
92061,7,2017,C,Y,0,0,0
92061,7,2017,I,Y,0,0,0
92061,7,2017,R,Y,1018,1032919,1015
92064,7,2017,A,Y,0,0,0
92064,7,2017,C,Y,1599,14279528,8930
92064,7,2017,I,Y,0,0,0
92064,7,2017,R,Y,16095,12603156,783
92065,7,2017,A,Y,977,5345243,5471
92065,7,2017,C,Y,1152,4217619,3661
92065,7,2017,I,Y,0,0,0
92065,7,2017,R,Y,12355,11744376,951
92066,7,2017,A,Y,0,0,0
92066,7,2017,C,Y,0,0,0
92066,7,2017,I,Y,0,0,0
92066,7,2017,R,Y,0,0,0
92067,7,2017,A,Y,0,0,0
92067,7,2017,C,N,470,3176800,6759
92067,7,2017,I,Y,0,0,0
92067,7,2017,R,N,4128,7544439,1828
92068,7,2017,A,Y,0,0,0
92068,7,2017,C,Y,0,0,0
92068,7,2017,I,Y,0,0,0
92068,7,2017,R,Y,0,0,0
92069,7,2017,A,Y,0,0,0
92069,7,2017,C,Y,1415,8811284,6227
92069,7,2017,I,Y,0,0,0
92069,7,2017,R,Y,15333,9049441,590
92070,7,2017,A,Y,0,0,0
92070,7,2017,C,Y,0,0,0
92070,7,2017,I,Y,0,0,0
92070,7,2017,R,Y,0,0,0
92071,7,2017,A,Y,0,0,0
