ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92020,4,2021,C,N,2200,14188133,6449
92020,4,2021,I,Y,0,0,0
92020,4,2021,R,N,19615,5627758,287
92021,4,2021,A,Y,0,0,0
92021,4,2021,C,N,1237,6464273,5226
92021,4,2021,I,Y,0,0,0
92021,4,2021,R,N,20239,6504653,321
92024,4,2021,A,Y,0,0,0
92024,4,2021,C,Y,0,0,0
92024,4,2021,I,Y,0,0,0
92024,4,2021,R,Y,18670,5891908,316
92025,4,2021,A,Y,0,0,0
92025,4,2021,C,Y,2031,11483516,5654
92025,4,2021,I,Y,0,0,0
92025,4,2021,R,Y,14873,3920917,264
92026,4,2021,A,Y,0,0,0
92026,4,2021,C,N,587,4212089,7176
92026,4,2021,I,Y,0,0,0
92026,4,2021,R,N,17205,4754291,276
92027,4,2021,A,Y,0,0,0
92027,4,2021,C,Y,1566,11534322,7365
92027,4,2021,I,Y,0,0,0
92027,4,2021,R,Y,15407,4085334,265
92028,4,2021,A,Y,0,0,0
92028,4,2021,C,Y,1557,6905815,4435
92028,4,2021,I,Y,0,0,0
92028,4,2021,R,Y,16274,4848693,298
92029,4,2021,A,Y,0,0,0
92029,4,2021,C,Y,0,0,0
92029,4,2021,I,Y,0,0,0
92029,4,2021,R,N,6891,2396036,348
92036,4,2021,A,Y,0,0,0
92036,4,2021,C,Y,0,0,0
92036,4,2021,I,Y,0,0,0
92036,4,2021,R,Y,2253,956762,425
92037,4,2021,A,Y,0,0,0
92037,4,2021,C,Y,0,0,0
92037,4,2021,I,Y,0,0,0
92037,4,2021,R,Y,18079,7396277,409
92040,4,2021,A,Y,0,0,0
92040,4,2021,C,Y,0,0,0
92040,4,2021,I,Y,0,0,0
92040,4,2021,R,N,13476,4624031,343
92045,4,2021,C,Y,0,0,0
92045,4,2021,I,Y,0,0,0
92045,4,2021,R,Y,0,0,0
92049,4,2021,A,Y,0,0,0
92049,4,2021,C,Y,0,0,0
92049,4,2021,I,Y,0,0,0
92049,4,2021,R,Y,0,0,0
92054,4,2021,A,Y,0,0,0
92054,4,2021,C,Y,1321,9299841,7040
92054,4,2021,I,Y,0,0,0
92054,4,2021,R,Y,15176,4829071,318
92055,4,2021,A,Y,0,0,0
92055,4,2021,C,Y,0,0,0
92055,4,2021,I,Y,0,0,0
92055,4,2021,R,Y,0,0,0
92056,4,2021,A,Y,0,0,0
92056,4,2021,C,Y,0,0,0
92056,4,2021,I,Y,0,0,0
92056,4,2021,R,N,19308,5277876,273
92057,4,2021,A,Y,0,0,0
92057,4,2021,C,Y,0,0,0
92057,4,2021,I,Y,0,0,0
92057,4,2021,R,N,18809,4879413,259
92058,4,2021,A,Y,0,0,0
92058,4,2021,C,Y,0,0,0
92058,4,2021,I,Y,0,0,0
92058,4,2021,R,Y,6785,2274495,335
92059,4,2021,A,Y,0,0,0
92059,4,2021,C,Y,0,0,0
92059,4,2021,I,Y,0,0,0
92059,4,2021,R,N,531,248575,468
92060,4,2021,A,Y,0,0,0
92060,4,2021,C,Y,0,0,0
92060,4,2021,I,Y,0,0,0
92060,4,2021,R,Y,0,0,0
92061,4,2021,A,Y,0,0,0
92061,4,2021,C,Y,0,0,0
92061,4,2021,I,Y,0,0,0
92061,4,2021,R,N,978,468242,479
92064,4,2021,A,Y,0,0,0
92064,4,2021,C,Y,0,0,0
92064,4,2021,I,Y,0,0,0
92064,4,2021,R,Y,14965,3379666,226
92065,4,2021,A,Y,0,0,0
92065,4,2021,C,Y,1331,3347683,2515
92065,4,2021,I,Y,0,0,0
92065,4,2021,R,Y,11852,3449624,291
92066,4,2021,A,Y,0,0,0
92066,4,2021,C,Y,0,0,0
92066,4,2021,I,Y,0,0,0
92066,4,2021,R,Y,0,0,0
92067,4,2021,A,Y,0,0,0
92067,4,2021,C,Y,0,0,0
92067,4,2021,I,Y,0,0,0
92067,4,2021,R,N,3722,3663628,984
92068,4,2021,A,Y,0,0,0
92068,4,2021,C,Y,0,0,0
92068,4,2021,I,Y,0,0,0
92068,4,2021,R,Y,0,0,0
92069,4,2021,A,Y,0,0,0
92069,4,2021,C,Y,1290,9125530,7074
92069,4,2021,I,Y,0,0,0
92069,4,2021,R,Y,14257,3707829,260
92070,4,2021,A,Y,0,0,0
92070,4,2021,C,Y,0,0,0
92070,4,2021,I,Y,0,0,0
92070,4,2021,R,Y,0,0,0
92071,4,2021,A,Y,0,0,0
92071,4,2021,C,Y,1387,7863190,5669
92071,4,2021,I,Y,0,0,0
92071,4,2021,R,Y,18863,5381749,285
92072,4,2021,A,Y,0,0,0
92072,4,2021,C,Y,0,0,0
92072,4,2021,I,Y,0,0,0
92072,4,2021,R,Y,0,0,0
92075,4,2021,A,Y,0,0,0
92075,4,2021,C,Y,0,0,0
92075,4,2021,I,Y,0,0,0
92075,4,2021,R,N,549,163297,297
92078,4,2021,A,Y,0,0,0
92078,4,2021,C,Y,0,0,0
92078,4,2021,I,Y,0,0,0
92078,4,2021,R,N,16530,5027326,304
92079,4,2021,A,Y,0,0,0
92079,4,2021,C,Y,0,0,0
92079,4,2021,I,Y,0,0,0
92079,4,2021,R,Y,0,0,0
92081,4,2021,A,Y,0,0,0
92081,4,2021,C,Y,1325,15215919,11484
92081,4,2021,I,Y,0,0,0
92081,4,2021,R,Y,10793,2987297,277
92082,4,2021,A,Y,0,0,0
92082,4,2021,C,Y,0,0,0
92082,4,2021,I,Y,0,0,0
92082,4,2021,R,Y,6134,2149594,350
92083,4,2021,A,Y,0,0,0
92083,4,2021,C,N,907,4257981,4695
92083,4,2021,I,Y,0,0,0
92083,4,2021,R,N,11039,3267811,296
92084,4,2021,A,Y,0,0,0
92084,4,2021,C,Y,1040,3889853,3740
92084,4,2021,I,Y,0,0,0
92084,4,2021,R,Y,14706,4410559,300
92085,4,2021,A,Y,0,0,0
92085,4,2021,C,Y,0,0,0
92085,4,2021,I,Y,0,0,0
92085,4,2021,R,Y,0,0,0
92086,4,2021,A,Y,0,0,0
92086,4,2021,C,Y,0,0,0
92086,4,2021,I,Y,0,0,0
92086,4,2021,R,Y,432,404499,936
92091,4,2021,A,Y,0,0,0
92091,4,2021,C,Y,0,0,0
92091,4,2021,I,Y,0,0,0
92091,4,2021,R,N,925,586936,635
92092,4,2021,A,Y,0,0,0
92092,4,2021,C,Y,0,0,0
92092,4,2021,I,Y,0,0,0
92092,4,2021,R,Y,0,0,0
92093,4,2021,A,Y,0,0,0
92093,4,2021,C,Y,0,0,0
92093,4,2021,I,Y,0,0,0
92093,4,2021,R,Y,0,0,0
92096,4,2021,A,Y,0,0,0
92096,4,2021,C,Y,0,0,0
92096,4,2021,I,Y,0,0,0
92096,4,2021,R,Y,0,0,0
92101,4,2021,A,Y,0,0,0
92101,4,2021,C,Y,0,0,0
92101,4,2021,I,Y,0,0,0
92101,4,2021,R,Y,23301,7067021,303
92102,4,2021,A,Y,0,0,0
92102,4,2021,C,Y,0,0,0
92102,4,2021,I,Y,0,0,0
92102,4,2021,R,N,13052,3372792,258
92103,4,2021,A,Y,0,0,0
92103,4,2021,C,Y,0,0,0
92103,4,2021,I,Y,0,0,0
92103,4,2021,R,Y,16997,4224880,249
92104,4,2021,A,Y,0,0,0
92104,4,2021,C,Y,0,0,0
92104,4,2021,I,Y,0,0,0
92104,4,2021,R,N,21337,4459757,209
92105,4,2021,A,Y,0,0,0
92105,4,2021,C,Y,0,0,0
92105,4,2021,I,Y,0,0,0
92105,4,2021,R,N,20184,5161350,256
92106,4,2021,A,Y,0,0,0
92106,4,2021,C,Y,0,0,0
92106,4,2021,I,Y,0,0,0
92106,4,2021,R,Y,7249,2211748,305
92107,4,2021,A,Y,0,0,0
92107,4,2021,C,Y,0,0,0
92107,4,2021,I,Y,0,0,0
92107,4,2021,R,N,13016,3291268,253
92108,4,2021,A,Y,0,0,0
92108,4,2021,C,N,122,7322332,60019
92108,4,2021,I,Y,0,0,0
92108,4,2021,R,N,12805,3982409,311
92109,4,2021,A,Y,0,0,0
92109,4,2021,C,Y,0,0,0
92109,4,2021,I,Y,0,0,0
92109,4,2021,R,N,22615,5692422,252
92110,4,2021,A,Y,0,0,0
92110,4,2021,C,Y,0,0,0
92110,4,2021,I,Y,0,0,0
92110,4,2021,R,N,10913,4024219,369
92111,4,2021,A,Y,0,0,0
92111,4,2021,C,Y,0,0,0
92111,4,2021,I,Y,0,0,0
92111,4,2021,R,Y,15456,4103832,266
92112,4,2021,A,Y,0,0,0
92112,4,2021,C,Y,0,0,0
92112,4,2021,I,Y,0,0,0
92112,4,2021,R,Y,0,0,0
92113,4,2021,A,Y,0,0,0
92113,4,2021,C,Y,0,0,0
92113,4,2021,I,Y,0,0,0
92113,4,2021,R,N,12162,3179872,261
92114,4,2021,A,Y,0,0,0
92114,4,2021,C,Y,0,0,0
92114,4,2021,I,Y,0,0,0
92114,4,2021,R,N,16913,4756752,281
92115,4,2021,A,Y,0,0,0
92115,4,2021,C,Y,0,0,0
92115,4,2021,I,Y,0,0,0
92115,4,2021,R,Y,19775,4608782,233
92116,4,2021,A,Y,0,0,0
92116,4,2021,C,Y,0,0,0
92116,4,2021,I,Y,0,0,0
92116,4,2021,R,N,16108,3328134,207
92117,4,2021,A,Y,0,0,0
92117,4,2021,C,Y,0,0,0
92117,4,2021,I,Y,0,0,0
92117,4,2021,R,N,19455,4907116,252
92118,4,2021,A,Y,0,0,0
92118,4,2021,C,Y,0,0,0
92118,4,2021,I,Y,0,0,0
92118,4,2021,R,Y,7651,3746413,490
92119,4,2021,A,Y,0,0,0
92119,4,2021,C,Y,0,0,0
92119,4,2021,I,Y,0,0,0
92119,4,2021,R,N,9485,2281291,241
92120,4,2021,A,Y,0,0,0
92120,4,2021,C,Y,0,0,0
92120,4,2021,I,Y,0,0,0
92120,4,2021,R,N,11914,3008614,253
92121,4,2021,A,Y,0,0,0
92121,4,2021,C,Y,0,0,0
92121,4,2021,I,Y,0,0,0
92121,4,2021,R,Y,1696,493179,291
92122,4,2021,A,Y,0,0,0
92122,4,2021,C,Y,0,0,0
92122,4,2021,I,Y,0,0,0
92122,4,2021,R,N,18782,5076753,270
92123,4,2021,A,Y,0,0,0
92123,4,2021,C,Y,132,14556201,110274
92123,4,2021,I,Y,0,0,0
92123,4,2021,R,Y,10607,3644820,344
92124,4,2021,A,Y,0,0,0
92124,4,2021,C,Y,0,0,0
92124,4,2021,I,Y,0,0,0
92124,4,2021,R,N,8641,2266458,262
92126,4,2021,A,Y,0,0,0
92126,4,2021,C,Y,0,0,0
92126,4,2021,I,Y,0,0,0
92126,4,2021,R,Y,23450,6622447,282
92127,4,2021,A,Y,0,0,0
92127,4,2021,C,Y,0,0,0
92127,4,2021,I,Y,0,0,0
92127,4,2021,R,N,16205,4839499,299
92128,4,2021,A,Y,0,0,0
92128,4,2021,C,Y,0,0,0
92128,4,2021,I,Y,0,0,0
92128,4,2021,R,Y,19834,5120084,258
92129,4,2021,A,Y,0,0,0
92129,4,2021,C,Y,0,0,0
92129,4,2021,I,Y,0,0,0
92129,4,2021,R,N,17241,4025991,234
92130,4,2021,A,Y,0,0,0
92130,4,2021,C,Y,0,0,0
92130,4,2021,I,Y,0,0,0
92130,4,2021,R,N,21579,6035576,280
92131,4,2021,A,Y,0,0,0
92131,4,2021,C,Y,63,1608019,25524
92131,4,2021,I,Y,0,0,0
92131,4,2021,R,Y,12176,2742843,225
92132,4,2021,A,Y,0,0,0
92132,4,2021,C,Y,0,0,0
92132,4,2021,I,Y,0,0,0
92132,4,2021,R,Y,0,0,0
92134,4,2021,A,Y,0,0,0
92134,4,2021,C,Y,0,0,0
92134,4,2021,I,Y,0,0,0
92134,4,2021,R,Y,0,0,0
92135,4,2021,A,Y,0,0,0
92135,4,2021,C,Y,0,0,0
92135,4,2021,I,Y,0,0,0
92135,4,2021,R,Y,0,0,0
92136,4,2021,A,Y,0,0,0
92136,4,2021,C,Y,0,0,0
92136,4,2021,I,Y,0,0,0
92136,4,2021,R,Y,0,0,0
92139,4,2021,A,Y,0,0,0
92139,4,2021,C,Y,0,0,0
92139,4,2021,I,Y,0,0,0
92139,4,2021,R,N,9685,2899419,299
92145,4,2021,A,Y,0,0,0
92145,4,2021,C,Y,0,0,0
92145,4,2021,I,Y,0,0,0
92145,4,2021,R,Y,0,0,0
92152,4,2021,A,Y,0,0,0
92152,4,2021,C,Y,0,0,0
92152,4,2021,I,Y,0,0,0
92152,4,2021,R,Y,0,0,0
92154,4,2021,A,Y,0,0,0
92154,4,2021,C,Y,0,0,0
92154,4,2021,I,Y,0,0,0
92154,4,2021,R,Y,20007,5820846,291
92155,4,2021,A,Y,0,0,0
92155,4,2021,C,Y,0,0,0
92155,4,2021,I,Y,0,0,0
92155,4,2021,R,Y,0,0,0
92158,4,2021,A,Y,0,0,0
92158,4,2021,C,Y,0,0,0
92158,4,2021,I,Y,0,0,0
92158,4,2021,R,Y,0,0,0
92161,4,2021,A,Y,0,0,0
92161,4,2021,C,Y,0,0,0
92161,4,2021,I,Y,0,0,0
92161,4,2021,R,Y,0,0,0
92173,4,2021,A,Y,0,0,0
92173,4,2021,C,Y,0,0,0
92173,4,2021,I,Y,0,0,0
92173,4,2021,R,N,6572,1489239,227
92179,4,2021,A,Y,0,0,0
92179,4,2021,C,Y,0,0,0
92179,4,2021,I,Y,0,0,0
92179,4,2021,R,Y,0,0,0
92182,4,2021,A,Y,0,0,0
92182,4,2021,C,Y,0,0,0
92182,4,2021,I,Y,0,0,0
92182,4,2021,R,Y,0,0,0
92199,4,2021,A,Y,0,0,0
92199,4,2021,C,Y,0,0,0
92199,4,2021,I,Y,0,0,0
92199,4,2021,R,Y,0,0,0
92536,4,2021,A,Y,0,0,0
92536,4,2021,C,Y,0,0,0
92536,4,2021,I,Y,0,0,0
92536,4,2021,R,Y,0,0,0
92624,4,2021,A,Y,0,0,0
92624,4,2021,C,Y,0,0,0
92624,4,2021,I,Y,0,0,0
92624,4,2021,R,N,2781,1107627,398
92625,4,2021,A,Y,0,0,0
92629,4,2021,A,Y,0,0,0
92629,4,2021,C,Y,0,0,0
92629,4,2021,I,Y,0,0,0
92629,4,2021,R,N,12408,4556183,367
92649,4,2021,A,Y,0,0,0
92651,4,2021,A,Y,0,0,0
92651,4,2021,C,Y,0,0,0
92651,4,2021,I,Y,0,0,0
92651,4,2021,R,Y,1590,817558,514
92653,4,2021,A,Y,0,0,0
92653,4,2021,C,Y,0,0,0
92653,4,2021,I,Y,0,0,0
92653,4,2021,R,N,5596,2228449,398
92654,4,2021,A,Y,0,0,0
92654,4,2021,C,Y,0,0,0
92654,4,2021,I,Y,0,0,0
92654,4,2021,R,Y,0,0,0
92656,4,2021,A,Y,0,0,0
92656,4,2021,C,Y,0,0,0
92656,4,2021,I,Y,0,0,0
92656,4,2021,R,N,2224,651767,293
92672,4,2021,A,Y,0,0,0
92672,4,2021,C,Y,1200,4907144,4089
92672,4,2021,I,Y,0,0,0
92672,4,2021,R,Y,14882,5097604,343
92673,4,2021,A,Y,0,0,0
92673,4,2021,C,N,758,5079429,6701
92673,4,2021,I,Y,0,0,0
92673,4,2021,R,N,9835,3458643,352
92674,4,2021,A,Y,0,0,0
92674,4,2021,C,Y,0,0,0
92674,4,2021,I,Y,0,0,0
92674,4,2021,R,Y,0,0,0
92675,4,2021,A,Y,0,0,0
92675,4,2021,C,Y,0,0,0
92675,4,2021,I,Y,0,0,0
92675,4,2021,R,Y,11001,4851390,441
92676,4,2021,A,Y,0,0,0
92676,4,2021,C,Y,0,0,0
92676,4,2021,I,Y,0,0,0
92676,4,2021,R,Y,0,0,0
92677,4,2021,A,Y,0,0,0
