ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalTherms,AverageTherms
91901,4,2013,C,Y,0,0,0
91901,4,2013,R,Y,2445,70204,29
91902,4,2013,C,Y,0,0,0
91902,4,2013,R,N,5613,166320,30
91905,4,2013,C,Y,0,0,0
91905,4,2013,R,Y,0,0,0
91906,4,2013,C,Y,0,0,0
91906,4,2013,R,Y,0,0,0
91910,4,2013,C,Y,0,0,0
91910,4,2013,R,Y,23795,586839,25
91911,4,2013,C,Y,0,0,0
91911,4,2013,R,Y,18870,1365179,72
91912,4,2013,C,Y,0,0,0
91912,4,2013,R,Y,0,0,0
91913,4,2013,C,N,82,23910,292
91913,4,2013,R,N,15896,347885,22
91914,4,2013,C,Y,0,0,0
91914,4,2013,R,N,5576,1007895,181
91915,4,2013,C,Y,88,30590,348
91915,4,2013,R,Y,9572,209094,22
91916,4,2013,C,Y,0,0,0
91916,4,2013,R,Y,0,0,0
91917,4,2013,C,Y,0,0,0
91917,4,2013,R,Y,0,0,0
91931,4,2013,C,Y,0,0,0
91931,4,2013,R,Y,0,0,0
91932,4,2013,C,N,170,30947,182
91932,4,2013,R,N,9700,245633,25
91934,4,2013,C,Y,0,0,0
91934,4,2013,R,Y,0,0,0
91935,4,2013,C,Y,0,0,0
91935,4,2013,R,N,225,9835,44
91941,4,2013,C,Y,0,0,0
91941,4,2013,R,N,12212,386968,32
91942,4,2013,C,N,750,178230,238
91942,4,2013,R,N,12081,345888,29
91945,4,2013,C,N,334,44779,134
91945,4,2013,R,N,8694,2125733,245
91948,4,2013,C,Y,0,0,0
91948,4,2013,R,Y,0,0,0
91950,4,2013,C,Y,0,0,0
91950,4,2013,R,Y,13285,313755,24
91962,4,2013,C,Y,0,0,0
91962,4,2013,R,Y,0,0,0
91963,4,2013,C,Y,0,0,0
91963,4,2013,R,Y,0,0,0
91977,4,2013,C,N,348,46279,133
91977,4,2013,R,N,16988,434303,26
91978,4,2013,C,N,53,9909,187
91978,4,2013,R,N,2643,69483,26
91980,4,2013,C,Y,0,0,0
91980,4,2013,R,Y,0,0,0
92003,4,2013,C,Y,0,0,0
92003,4,2013,R,N,160,4644,29
92004,4,2013,C,Y,0,0,0
92004,4,2013,R,Y,335,5528,17
92007,4,2013,C,Y,0,0,0
92007,4,2013,R,N,4656,110858,24
92008,4,2013,C,N,600,227972,380
92008,4,2013,R,N,11507,315304,27
92009,4,2013,C,N,188,107588,572
92009,4,2013,R,N,17083,488715,29
92010,4,2013,C,Y,0,0,0
92010,4,2013,R,N,6093,140874,23
92011,4,2013,C,N,188,84535,450
92011,4,2013,R,N,9927,236902,24
92014,4,2013,C,N,187,51759,277
92014,4,2013,R,N,6130,187238,31
92019,4,2013,C,N,206,79918,388
92019,4,2013,R,N,13187,330971,25
92020,4,2013,C,N,983,201091,205
92020,4,2013,R,N,15664,2350369,150
92021,4,2013,C,N,580,126933,219
92021,4,2013,R,N,15644,450046,29
92024,4,2013,C,Y,880,228666,260
92024,4,2013,R,Y,18089,534548,30
92025,4,2013,C,Y,1427,286336,201
92025,4,2013,R,Y,12592,1306538,104
92026,4,2013,C,Y,186,53251,286
92026,4,2013,R,Y,11182,296785,27
92027,4,2013,C,Y,244,58203,239
92027,4,2013,R,Y,14134,393828,28
92028,4,2013,C,Y,0,0,0
92028,4,2013,R,Y,9669,278417,29
92029,4,2013,C,Y,0,0,0
92029,4,2013,R,N,6242,179456,29
92036,4,2013,C,Y,0,0,0
92036,4,2013,R,Y,0,0,0
92037,4,2013,C,Y,0,0,0
92037,4,2013,R,Y,16640,1509792,91
92040,4,2013,C,N,227,30071,132
92040,4,2013,R,N,9689,242263,25
92045,4,2013,C,Y,0,0,0
92045,4,2013,R,Y,0,0,0
92049,4,2013,C,Y,0,0,0
92049,4,2013,R,Y,0,0,0
92054,4,2013,C,Y,740,185171,250
92054,4,2013,R,Y,13744,1513062,110
