,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013,KCZZ 07/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,64,97,49,92,36,1975,104,1950,0.00,0.00,0.02,2006,
3,2,60,99,49,92,35,1979,102,2007,0.00,0.01,0.01,1957,
4,3,57,94,49,92,34,1956,105,1973,0.00,0.00,0.00,2002,
5,4,54,96,49,93,34,2000,108,1989,0.00,0.01,0.00,2006,
6,5,57,91,50,93,36,1978,106,1989,0.00,0.00,0.19,2011,
7,6,58,91,50,93,35,1977,104,1976,0.00,0.01,0.38,1968,
8,7,57,98,50,93,35,1979,103,1976,0.00,0.01,0.02,1992,
9,8,58,102,51,93,36,1977,105,1985,0.00,0.00,0.22,1984,
10,9,67,99,51,93,38,1977,102,2002,0.00,0.01,0.10,1950,
11,10,66,85,51,94,38,2000,103,2012,0.00,0.01,0.05,1990,
12,11,63,80,51,94,35,1951,103,1961,0.00,0.00,0.00,2006,
13,12,61,92,52,94,38,1951,102,1983,0.00,0.01,0.16,2002,
14,13,58,93,52,94,38,1962,104,2005,0.00,0.01,0.01,1983,
15,14,60,95,52,94,39,1973,104,2006,0.00,0.00,0.73,1984,
16,15,59,95,52,94,40,1993,105,1960,0.00,0.01,0.28,1965,
17,16,53,91,52,94,38,1983,108,1998,0.00,0.01,0.25,2006,
18,17,46,94,53,94,36,1983,107,1960,0.00,0.01,0.23,2006,
19,18,48,96,53,94,38,1962,106,2009,0.00,0.01,0.47,1954,
20,19,55,93,53,94,35,1987,104,1990,0.00,0.02,1.49,1985,
21,20,58,88,53,94,42,1973,104,1989,0.00,0.01,0.40,1955,
22,21,62,87,53,94,34,1973,103,2006,0.23,0.02,0.23,2013,
23,22,63,85,53,94,37,1973,106,2006,0.00,0.01,0.10,1982,
24,23,60,89,53,95,39,1987,103,2006,0.00,0.01,0.12,1976,
25,24,59,94,53,95,43,1987,102,1959,0.00,0.02,0.24,1974,
26,25,56,96,54,95,41,1987,104,1959,0.00,0.01,0.44,2005,
27,26,64,91,54,95,40,1986,106,1995,0.01,0.02,1.15,1952,
28,27,58,92,54,95,40,1990,111,1995,0.00,0.01,0.55,1956,
29,28,50,89,54,95,43,1986,109,1995,0.00,0.02,0.33,1984,
30,29,49,89,54,95,44,2002,106,1995,0.00,0.02,1.23,1968,
31,30,53,87,54,95,41,1950,103,1972,0.00,0.01,1.61,2003,
32,31,52,88,54,95,40,1950,105,1972,0.00,0.02,0.62,1991,
33,Average:,57.6,92.1,52.0,93.9,,,,,Total: 0.24,Total: 0.32,,,
